date,cm10yr,cm5f5,cm5yr,cp3m_spread_m,ebp,ed2_tc,ed3_tc,ed4_tc,ff,ff4_tc,ff_exp1yr,gs1,gs2,logcpi,logip,mortg_spread_m,mp1_tc,dlogip,dlogcpi
1979-07-01,8.9499998,9.0023813,8.8976192,.51500028,-.22395299,,,,10.47,,,9.6400003,9.1400003,429.0459,394.33411,2.1400001,,,
1979-08-01,9.0295649,8.9986954,9.0604343,.78499979,-.31748801,,,,10.94,,,9.9799995,9.46,430.00031,393.67551,2.0599999,,-7.9031982,11.452881
1979-09-01,9.3347368,9.2610531,9.4084215,1.255,-.089455999,,,,11.43,,,10.84,10.06,430.94559,393.81561,1.97,,1.6812744,11.343384
1979-10-01,10.299091,9.9704542,10.627727,1.415,-.91215801,,,,13.77,,,12.44,11.49,432.01511,394.3526,1.34,,6.4438477,12.834229
1979-11-01,10.653158,10.38105,10.925263,1.665,-.16622201,,,,13.18,,,12.39,11.81,433.0733,394.25211,2.1800001,,-1.2059326,12.698364
1979-12-01,10.386,10.3565,10.4155,1.085,.127869,,,,13.78,,,11.98,11.39,434.25061,394.32251,2.509999,,.84484863,14.127686
1980-01-01,10.802273,10.86091,10.743636,.92500007,-.102562,,,,13.82,,,12.06,11.5,435.6709,394.75119,2.0799999,,5.144165,17.043457
1980-02-01,12.414737,12.23316,12.596316,.80500019,-.58488202,,,,14.13,,,13.92,13.42,436.94479,394.82971,.63000011,,.94226074,15.286743
1980-03-01,12.749048,12.02857,13.469524,1.495,.25607601,,,,17.190001,,,15.82,14.88,438.32761,394.52219,2.53,,-3.6903076,16.59375
1980-04-01,11.473333,11.10286,11.84381,2.4649999,-.73117501,,,,17.610001,,,13.3,12.5,439.32141,392.48209,4.8600001,,-24.481201,11.925659
1980-05-01,10.181429,10.41714,9.945714,.79500002,.024596,,,,10.98,,,9.3900003,9.4499998,440.30539,389.9928,4.0799999,,-29.87146,11.807739
1980-06-01,9.7780952,10.34476,9.2114286,1.085001,-.089556001,,,,9.4700003,,,8.1599998,8.7299995,441.27979,388.76419,2.9300001,,-14.743286,11.692749
1980-07-01,10.247727,10.96682,9.528636,.2349996,.093039997,,,,9.0299997,,,8.6499996,9.0299997,441.401,388.1019,1.9400001,,-7.9475098,1.4545898
